Rack,Slot,Type,Channel,Type,Tag Name,Raw Min,Raw Max,EU Min,EU Max,Use Counts
1,0,e1212,0,di,di_low_static_pres,,,,,
1,0,e1212,1,di,di_fire_alarm_norm,,,,,
1,0,e1212,2,di,di_sfty_rly_sts,,,,,
1,0,e1212,3,di,di_sfty_rst_pb_sts,,,,,
1,0,e1212,4,di,di_pwr_sply_sts,,,,,
1,0,e1212,5,di,di_ra_end_sw,,,,,
1,0,e1212,6,di,di_oa_end_sw,,,,,
1,0,e1212,7,di,di_carbon_wtr_mtr,,,,,
1,0,e1212,8,di,,,,,,
1,0,e1212,9,di,,,,,,
1,0,e1212,10,do,do_sfty_rst_pb_rly,,,,,
1,0,e1212,11,do,do_sfty_rst_pb_lt,,,,,
1,0,e1212,12,do,,,,,,
1,0,e1212,13,do,,,,,,
1,0,e1212,14,do,,,,,,
1,0,e1212,15,do,,,,,,
2,0,e1260,0,rtd,ai_ra_temp,0,100,0,10,1
2,0,e1260,1,rtd,ai_pre_clg_temp,0,100,0,10,1
2,0,e1260,2,rtd,ai_sa_temp,0,100,0,10,1
2,0,e1260,3,rtd,,0,100,0,10,1
2,0,e1260,4,rtd,,0,100,0,10,1
2,0,e1260,5,rtd,,0,100,0,10,1
3,0,e1240,0,ai,ai_chwv_fdbk,13107,65534,0,100,1
3,0,e1240,1,ai,,13107,65534,0,100,1
3,0,e1240,2,ai,,13107,65534,0,100,1
3,0,e1240,3,ai,,13107,65534,0,100,1
3,0,e1240,4,ai,,13107,65534,0,100,1
3,0,e1240,5,ai,,13107,65534,0,100,1
3,0,e1240,6,ai,,13107,65534,0,100,1
3,0,e1240,7,ai,,13107,65534,0,100,1
4,0,e1241,0,ao,ao_chwv_cmd,0,4095,0,100,1
4,0,e1241,1,ao,,0,4095,0,100,1
4,0,e1241,2,ao,,0,4095,0,100,1
4,0,e1241,3,ao,,0,4095,0,100,1
